Author,Total Share Count,Total View Count,Articles Emailed
YAMICHE ALCINDOR,6,7,0
JOHN LELAND,0,0,1
JEREMY W. PETERS,0,12,0
JO BECKER,0,12,0
ERIC LICHTBLAU,0,18,0
THE EDITORIAL BOARD,0,15,0
PETER J. HOTEZ,2,17,0
JULIE HIRSCHFELD DAVIS,4,12,0
PAUL KRUGMAN,0,0,1
JASMINE C. LEE,0,0,1
MICHAEL KIMMELMAN,0,0,1
SEWELL CHAN,18,11,0
LAURIE GOODSTEIN,23,8,0
MICHAEL D. SHEAR,0,18,0
THOMAS L. FRIEDMAN,10,19,0
MAGGIE HABERMAN,20,13,1
ERIN GLORIA RYAN,16,9,0
GLENN THRUSH,20,13,1
LIZ ALDERMAN,0,0,1
JASON HOROWITZ,0,0,1
MARK LANDLER,15,20,0
RON NIXON,0,16,0
MARK MAZZETTI,5,2,1
JUGAL K. PATEL,0,0,1
EMILY S. RUEB,0,0,1
CHARLES J. SYKES,14,14,1
HAEYOUN PARK,0,0,1
AMY KROUSE ROSENTHAL,7,0,0
KENNETH CHANG,20,0,1
ANDREW ROSS SORKIN,0,0,1
MICHAEL S. SCHMIDT,17,3,1
MATTHEW ROSENBERG,31,13,0
THE NEW YORK TIMES,3,10,0
GRETCHEN REYNOLDS,0,0,1
DAVID BROOKS,13,0,1
JOHN KOBLIN,17,0,0
CÃ‰SAR GAVIRIA,11,0,0
MATT APUZZO,24,18,1
ADAM GOLDMAN,12,3,0
EMMARIE HUETTEMAN,6,7,0
NELL McSHANE WULFHART,0,0,1
GINA KOLATA,0,0,1
MICHAEL M. GRYNBAUM,4,6,0
GAIL COLLINS,9,0,0
Most Popular Author based on articles shared: ,MATTHEW ROSENBERG,,
Most Popular Author based on articles viewed: ,MARK LANDLER,,
